X,Y,Z,Intensity
47.7047,-33.354088,248.11249,255.0
50.159325,-34.7248,258.26294,255.0
51.560863,-35.346836,262.8421,255.0
52.54779,-35.67537,265.23706,255.0
53.46372,-35.949875,267.22903,255.0
54.45903,-36.27206,269.57416,255.0
54.964714,-36.26514,269.47244,255.0
56.03724,-36.62887,272.12393,255.0
56.38133,-36.514137,271.22003,255.0
56.4427,-36.22008,268.98422,255.0
56.392414,-35.86034,266.26114,255.0
56.151867,-35.38716,262.69647,255.0
55.06605,-34.39443,255.2766,254.0
53.52808,-33.139263,245.91182,245.0
50.972446,-31.281485,232.07953,236.0
49.091217,-29.866173,221.53438,233.0
43.56873,-26.278898,194.88571,238.0
37.188244,-22.23957,164.89589,255.0
27.908764,-16.549364,122.68022,255.0
22.254961,-13.086348,96.98861,255.0
19.39914,-11.312418,83.82353,255.0
16.360113,-9.461729,70.095245,255.0
14.173849,-8.130415,60.21954,255.0
12.118282,-6.895021,51.058296,255.0
12.065878,-6.810071,50.41822,255.0
12.245155,-6.856195,50.74853,255.0
13.508508,-7.5037785,55.52953,255.0
15.870058,-8.746456,64.71113,255.0
17.895794,-9.786158,72.38709,255.0
20.169552,-10.944387,80.936,255.0
22.43103,-12.078259,89.30077,255.0
25.447302,-13.598227,100.51549,255.0
28.639992,-15.188818,112.24672,255.0
39.557526,-20.821669,153.83794,255.0
54.82842,-28.645195,211.591,238.0
62.38467,-32.35248,238.9185,233.0
68.507835,-35.26772,260.3847,239.0
71.49153,-36.53612,269.68433,255.0
75.30584,-38.207638,281.95374,255.0
78.234825,-39.40924,290.74973,255.0
79.32162,-39.67237,292.6188,255.0
80.55885,-40.0065,295.01004,255.0
81.42014,-40.150555,295.9982,255.0
82.321556,-40.312252,297.11536,255.0
82.80051,-40.266273,296.70117,255.0
83.437584,-40.297287,296.85382,255.0
84.483086,-40.523804,298.4456,255.0
85.22372,-40.601994,298.94397,255.0
86.5421,-40.95253,301.44623,255.0
86.874664,-40.83502,300.50223,255.0
87.9519,-41.06676,302.1277,255.0
89.1884,-41.369324,304.2726,255.0
90.39447,-41.6539,306.28354,255.0
91.18174,-41.743042,306.8562,255.0
91.89325,-41.796585,307.16635,255.0
92.63221,-41.86184,307.5618,255.0
6.263897,-8.265075,62.78145,255.0
6.18991,-8.014755,60.87432,255.0
5.907745,-7.5090194,57.027668,255.0
5.849002,-7.300374,55.437717,255.0
5.3337235,-6.5393844,49.653988,255.0
5.0085645,-6.0339093,45.811268,255.0
4.673902,-5.534466,42.015038,255.0
4.2177963,-4.9104266,37.273746,255.0
0.0,-0.0,0.0,255.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,255.0
25.172817,-18.069056,136.46211,255.0
30.907444,-21.957832,165.80286,255.0
39.220985,-27.58121,208.22887,255.0
43.85231,-30.52815,230.43715,255.0
47.77921,-32.930935,248.53047,255.0
49.992676,-34.11707,257.43646,255.0
51.357788,-34.706753,261.83905,255.0
52.395725,-35.066074,264.50195,255.0
53.381443,-35.383915,266.8506,255.0
54.501804,-35.784126,269.81897,255.0
55.098534,-35.836258,270.16165,255.0
55.81556,-35.96494,271.0807,255.0
56.397644,-36.0051,271.33182,255.0
56.570885,-35.785896,269.6282,255.0
56.42769,-35.372307,266.4604,255.0
55.4573,-34.452244,259.47888,255.0
54.747765,-33.70916,253.83224,255.0
53.534798,-32.671925,245.97285,245.0
50.424202,-30.50481,229.61153,236.0
47.537018,-28.509207,214.54706,232.0
42.208485,-25.096283,188.82445,236.0
37.412457,-22.055372,165.91045,255.0
28.586426,-16.710058,125.674484,255.0
22.805574,-13.21935,99.40042,255.0
19.800447,-11.382178,85.56808,255.0
16.79519,-9.575172,71.96818,255.0
14.830365,-8.385987,63.016575,255.0
12.109326,-6.7919116,51.02683,255.0
12.204641,-6.790398,51.00432,255.0
12.16157,-6.712527,50.408314,255.0
13.349365,-7.30989,54.882084,255.0
15.537104,-8.441142,63.361263,255.0
18.039568,-9.724448,72.977615,255.0
20.39146,-10.907397,81.836525,255.0
23.384241,-12.412408,93.107056,255.0
25.60636,-13.488572,101.15617,255.0
29.058548,-15.191567,113.90112,255.0
40.78257,-21.16112,158.62158,255.0
55.802498,-28.73938,215.37659,234.0
62.644627,-32.02516,239.94356,230.0
67.25829,-34.13192,255.66684,235.0
71.093636,-35.81594,268.21634,251.0
74.78851,-37.405388,280.0512,255.0
76.6769,-38.075027,284.9949,255.0
79.04669,-38.972485,291.64047,255.0
79.828026,-39.07963,292.36963,255.0
81.39425,-39.56683,295.9404,255.0
82.380325,-39.76718,297.36398,255.0
82.859634,-39.721836,296.94952,255.0
83.77946,-39.886837,298.1068,255.0
84.46895,-39.94067,298.4323,255.0
84.87369,-39.860054,297.75275,255.0
86.22745,-40.223217,300.38718,255.0
87.06193,-40.340923,301.187,255.0
87.93753,-40.475986,302.1155,255.0
88.49769,-40.465042,301.95337,255.0
89.28853,-40.559025,302.57352,255.0
90.88299,-41.014458,305.8885,255.0
91.7747,-41.1489,306.8078,255.0
92.342865,-41.137486,306.63882,255.0
5.8638387,-7.625545,58.778908,255.0
5.7455325,-7.332008,56.51098,255.0
5.3989625,-6.763297,52.12271,255.0
